,Type,Location,Store,Lat,Long,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6
23,Countdown,Manukau,Countdown Manukau,-36.98676855,174.88481480000002,0,1,0,0,0,0
24,Countdown,Manukau Mall,Countdown Manukau Mall,-36.99174967,174.8831931,0,1,0,0,0,0
25,Countdown,Manurewa,Countdown Manurewa,-37.01734442,174.86510969999998,0,1,0,0,0,0
26,Countdown,Meadowbank,Countdown Meadowbank,-36.87610706,174.8289359,0,0,0,0,1,0
27,Countdown,Meadowlands,Countdown Meadowlands,-36.9132518,174.929465,0,0,0,1,0,0
28,Countdown,Milford,Countdown Milford,-36.77197217,174.76661769999998,0,0,0,0,0,1
29,Countdown,Mt Eden,Countdown Mt Eden,-36.87718131,174.7523352,1,0,0,0,1,0
30,Countdown,Mt Roskill,Countdown Mt Roskill,-36.90203359,174.7356996,1,0,0,0,1,0
31,Countdown,Mt Wellington,Countdown Mt Wellington,-36.9093147,174.837989,0,0,0,1,0,0
32,Countdown,Newmarket,Countdown Newmarket,-36.8705446,174.7754093,0,0,0,0,1,0
33,Countdown,Northcote,Countdown Northcote,-36.80035237,174.74553380000003,0,0,0,0,0,1
34,Countdown,Northwest,Countdown Northwest,-36.81879206,174.6129291,0,0,1,0,0,0
35,Countdown,Onehunga,Countdown Onehunga,-36.92249969,174.78380239999998,1,0,0,0,0,0
36,Countdown,Pakuranga,Countdown Pakuranga,-36.91284146,174.8714299,0,0,0,1,0,0
37,Countdown,Papakura,Countdown Papakura,-37.06390487,174.9447236,0,1,0,0,0,0
38,Countdown,Papatoetoe,Countdown Papatoetoe,-36.97039494,174.862111,0,1,0,0,0,0
39,Countdown,Ponsonby,Countdown Ponsonby,-36.8584399,174.74913859999998,0,0,0,0,1,0
40,Countdown,Pt Chevalier,Countdown Pt Chevalier,-36.86957431,174.7105595,1,0,0,0,1,0
41,Countdown,Roselands,Countdown Roselands,-37.05894779999999,174.9414297,0,1,0,0,0,0
42,Countdown,St Johns,Countdown St Johns,-36.87888192,174.8548393,0,0,0,1,0,0
43,Countdown,St Lukes,Countdown St Lukes,-36.88336862,174.7347459,1,0,0,0,1,0
44,Countdown,Sunnynook,Countdown Sunnynook,-36.75907026,174.74069409999998,0,0,0,0,0,1
45,Countdown,Sylvia Park,Countdown Sylvia Park,-36.91713855,174.84182019999997,0,0,0,1,0,0
46,Countdown,Takanini,Countdown Takanini,-37.04764284,174.9279243,0,1,0,0,0,0
47,Countdown,Takapuna,Countdown Takapuna,-36.79125414,174.76620559999998,0,0,0,0,0,1
48,Countdown,Te Atatu,Countdown Te Atatu,-36.84209292,174.65423810000001,0,0,1,0,0,0
49,Countdown,Te Atatu South,Countdown Te Atatu South,-36.86472278,174.64762919999998,0,0,1,0,0,0
50,Countdown,Three Kings,Countdown Three Kings,-36.90796057,174.7559072,1,0,0,0,1,0
51,Countdown,Victoria Street West,Countdown Victoria Street West,-36.84853355,174.76485119999998,0,0,0,0,1,0
52,Countdown,Westgate,Countdown Westgate,-36.82092949,174.61464640000003,0,0,1,0,0,0
53,Countdown Metro,Albert Street,Countdown Metro Albert Street,-36.84350157,174.76586619999998,0,0,0,0,1,0
54,Countdown Metro,Halsey Street,Countdown Metro Halsey Street,-36.84358106,174.75780659999998,0,0,0,0,0,1
55,Distribution Centre,Auckland,Distribution Centre Auckland,-36.94904179,174.8080123,0,1,0,0,0,0
56,FreshChoice,Glen Eden,FreshChoice Glen Eden,-36.91087436,174.6545496,0,0,1,0,0,0
57,FreshChoice,Half Moon Bay,FreshChoice Half Moon Bay,-36.88106607,174.9002827,0,0,0,1,0,0
58,FreshChoice,Mangere Bridge,FreshChoice Mangere Bridge,-36.94250829,174.7869875,1,0,0,0,0,0
59,FreshChoice,Otahuhu,FreshChoice Otahuhu,-36.94480584,174.8431184,0,1,0,0,0,0
60,FreshChoice,Ranui,FreshChoice Ranui,-36.86353948,174.6015834,0,0,1,0,0,0
61,SuperValue,Avondale,SuperValue Avondale,-36.89776863,174.69741000000002,1,0,0,0,0,0
62,SuperValue,Flatbush,SuperValue Flatbush,-36.97676671,174.8972267,0,1,0,0,0,0
63,SuperValue,Palomino,SuperValue Palomino,-36.88287566,174.6161793,0,0,1,0,0,0
64,SuperValue,Papakura,SuperValue Papakura,-37.06606311,174.9556975,0,1,0,0,0,0
65,SuperValue,Titirangi,SuperValue Titirangi,-36.93739048,174.65729840000003,0,0,1,0,0,0
